0,0,0,0
1,33,42,86
45,35,97,84
99,32,146,85
145,32,200,84
200,26,260,85
267,31,314,81
369,26,423,80
421,26,471,84
471,30,522,80
522,43,569,82
576,27,626,81
636,27,695,82
695,19,746,80
743,21,808,77
805,36,863,84
856,23,932,78
1,95,41,161
34,102,103,166
101,102,172,168
171,101,246,168
243,102,311,169
312,88,382,166
383,102,450,166
454,94,517,166
522,90,595,166
589,91,662,165
658,92,737,163
728,94,818,165
804,95,889,161
881,87,963,161
948,81,1000,161
23,165,98,240
99,165,175,251
181,167,270,254
266,159,355,255
355,168,441,248
430,160,530,257
520,169,613,258
600,164,683,246
676,155,784,254
773,170,874,253
852,161,972,249
4,330,127,513
125,353,251,515
489,378,650,534
631,361,790,533
754,342,931,538
889,345,1015,519
